ORINumber,Agency,Population,Attribute,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
NJ0020100,ALLENDALE PD,6865,Number of Offenses,0,0,0,0,8,26,4,38,12
NJ0020100,ALLENDALE PD,6865,"Rate Per 100,000",0,0,0,0,116.5,378.7,58.3,553.5,12
NJ0020100,ALLENDALE PD,6865,Number of Clearances,0,0,0,0,4,10,0,14,12
NJ0020100,ALLENDALE PD,6865,Percent Cleared,0,0,0,0,50,38,0,37,12
NJ0020100,ALLENDALE PD,6865,Number of Arrests,0,0,0,0,4,8,0,12,12
NJ0020200,ALPINE PD,1873,Number of Offenses,0,0,0,1,4,2,9,16,12
NJ0020200,ALPINE PD,1873,"Rate Per 100,000",0,0,0,53.4,213.6,106.8,480.5,854.2,12
NJ0020200,ALPINE PD,1873,Number of Clearances,0,1,0,1,0,0,0,2,12
NJ0020200,ALPINE PD,1873,Percent Cleared,0,0,0,100,0,0,0,13,12
NJ0020200,ALPINE PD,1873,Number of Arrests,0,1,0,0,0,0,0,1,12
NJ0028900,BERGEN CO PROSECUTOR'S OFFICE,0,Number of Offenses,0,0,0,0,0,0,0,0,12
NJ0028900,BERGEN CO PROSECUTOR'S OFFICE,0,"Rate Per 100,000",0,0,0,0,0,0,0,0,12
NJ0028900,BERGEN CO PROSECUTOR'S OFFICE,0,Number of Clearances,0,0,0,0,0,0,0,0,12
NJ0028900,BERGEN CO PROSECUTOR'S OFFICE,0,Percent Cleared,0,0,0,0,0,0,0,0,12
NJ0028900,BERGEN CO PROSECUTOR'S OFFICE,0,Number of Arrests,1,0,0,0,8,0,1,10,12
NJ0020000,BERGEN CO SHERIFF'S DEPT,0,Number of Offenses,0,2,0,0,2,44,0,48,12
NJ0020000,BERGEN CO SHERIFF'S DEPT,0,"Rate Per 100,000",0,0,0,0,0,0,0,0,12
NJ0020000,BERGEN CO SHERIFF'S DEPT,0,Number of Clearances,0,1,0,0,1,7,0,9,12
NJ0020000,BERGEN CO SHERIFF'S DEPT,0,Percent Cleared,0,50,0,0,50,16,0,19,12
