"county","tract","bg","state","placefp14","stab","cntyname","placefp","placenm","placenm14","intptlon","intptlat","pop10","afact","AFACT2"
"County code","Tract","Block group","State code","placefp14","State abbreviation","County name","placefp","placenm","Place name 2014","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","bg to placefp14 allocation factor","placefp14 to bg allocation factor"
"34003","0010.00","1","34","00700","NJ","Bergen NJ"," "," ","Allendale borough, NJ",-74.126125,41.036667,1446,1,0.222291 
"34003","0010.00","2","34","00700","NJ","Bergen NJ"," "," ","Allendale borough, NJ",-74.122729,41.027927,1075,1,0.165257 
"34003","0010.00","3","34","00700","NJ","Bergen NJ"," "," ","Allendale borough, NJ",-74.144654,41.033624,1235,1,0.189854 
"34003","0010.00","4","34","00700","NJ","Bergen NJ"," "," ","Allendale borough, NJ",-74.137009,41.025277,1858,1,0.285626 
"34003","0010.00","5","34","00700","NJ","Bergen NJ"," "," ","Allendale borough, NJ",-74.13067,41.043603,891,1,0.136971 
"34003","0021.00","1","34","01090","NJ","Bergen NJ"," "," ","Alpine borough, NJ",-73.9316,40.942515,1018,1,0.550568 
"34003","0021.00","2","34","01090","NJ","Bergen NJ"," "," ","Alpine borough, NJ",-73.928445,40.968043,831,1,0.449432 
"34003","0022.00","1","34","53430","NJ","Bergen NJ"," "," ","Northvale borough, NJ",-73.950484,41.012737,1296,1,0.27931 
"34003","0022.00","2","34","53430","NJ","Bergen NJ"," "," ","Northvale borough, NJ",-73.946922,41.005083,816,0.605791,0.175862 
"34003","0022.00","2","34","64170","NJ","Bergen NJ"," "," ","Rockleigh borough, NJ",-73.932796,41.005158,531,0.394209,1 
"34003","0022.00","3","34","53430","NJ","Bergen NJ"," "," ","Northvale borough, NJ",-73.951358,41.005285,902,1,0.194396 
"34003","0022.00","4","34","53430","NJ","Bergen NJ"," "," ","Northvale borough, NJ",-73.958168,41.015954,1626,1,0.350431 
"34003","0023.00","1","34","53610","NJ","Bergen NJ"," "," ","Norwood borough, NJ",-73.964776,41.001745,2331,1,0.408159 
"34003","0023.00","2","34","53610","NJ","Bergen NJ"," "," ","Norwood borough, NJ",-73.942081,40.9864,1456,1,0.254946 
