"county","tract","bg","state","sdsec14","stab","cntyname","sschlnm14","intptlon","intptlat","pop10","afact","AFACT2"
"County code","Tract","Block group","State code","sdsec14","State abbreviation","County name","Secondary school district name 2014","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","bg to sdsec14 allocation factor","sdsec14 to bg allocation factor"
"34003","0010.00","1","34","11730","NJ","Bergen NJ","Northern Highlands Regional School District",-74.126125,41.036667,1446,1,0.09828 
"34003","0010.00","2","34","11730","NJ","Bergen NJ","Northern Highlands Regional School District",-74.122729,41.027927,1075,1,0.073065 
"34003","0010.00","3","34","11730","NJ","Bergen NJ","Northern Highlands Regional School District",-74.144654,41.033624,1235,1,0.083939 
"34003","0010.00","4","34","11730","NJ","Bergen NJ","Northern Highlands Regional School District",-74.137009,41.025277,1858,1,0.126283 
"34003","0010.00","5","34","11730","NJ","Bergen NJ","Northern Highlands Regional School District",-74.13067,41.043603,891,1,0.060559 
"34003","0021.00","1","34"," ","NJ","Bergen NJ","34",-73.9316,40.942515,1018,1,0.001366 
"34003","0021.00","2","34"," ","NJ","Bergen NJ","34",-73.928445,40.968043,831,1,0.001115 
"34003","0022.00","1","34","11760","NJ","Bergen NJ","Northern Valley Regional School District",-73.950484,41.012737,1296,1,0.034651 
"34003","0022.00","2","34"," ","NJ","Bergen NJ","34",-73.932796,41.005158,531,0.394209,0.000713 
"34003","0022.00","2","34","11760","NJ","Bergen NJ","Northern Valley Regional School District",-73.946922,41.005083,816,0.605791,0.021818 
"34003","0022.00","3","34","11760","NJ","Bergen NJ","Northern Valley Regional School District",-73.951358,41.005285,902,1,0.024117 
"34003","0022.00","4","34","11760","NJ","Bergen NJ","Northern Valley Regional School District",-73.958168,41.015954,1626,1,0.043475 
"34003","0023.00","1","34","11760","NJ","Bergen NJ","Northern Valley Regional School District",-73.964776,41.001745,2331,1,0.062325 
"34003","0023.00","2","34","11760","NJ","Bergen NJ","Northern Valley Regional School District",-73.942081,40.9864,1456,1,0.038929 
"34003","0023.00","3","34","11760","NJ","Bergen NJ","Northern Valley Regional School District",-73.959413,40.994869,1924,1,0.051442 
"34003","0031.00","1","34"," ","NJ","Bergen NJ","34",-73.983378,40.935013,840,1,0.001127 
"34003","0031.00","2","34"," ","NJ","Bergen NJ","34",-73.988451,40.934475,877,1,0.001177 
"34003","0031.00","3","34"," ","NJ","Bergen NJ","34",-73.986742,40.930322,1365,1,0.001832 
"34003","0031.00","4","34"," ","NJ","Bergen NJ","34",-73.990891,40.925708,778,1,0.001044 
"34003","0031.00","5","34"," ","NJ","Bergen NJ","34",-73.986536,40.926437,1183,1,0.001588 
