"state","placefp14","county","cousubfp14","stab","cntyname","placefp","placenm","cousubnm14","placenm14","intptlon","intptlat","pop10","afact","AFACT2"
"State code","placefp14","County code","cousubfp14","State abbreviation","County name","placefp","placenm","County subdivision name 2014","Place name 2014","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","placefp14 to cousubfp14 allocation factor","cousubfp14 to placefp14 allocation factor"
"34","00700","34003","00700","NJ","Bergen NJ"," "," ","Allendale borough","Allendale borough, NJ",-74.132813,41.032342,6505,1,1 
"34","01090","34003","01090","NJ","Bergen NJ"," "," ","Alpine borough","Alpine borough, NJ",-73.930182,40.953988,1849,1,1 
"34","05170","34003","05170","NJ","Bergen NJ"," "," ","Bergenfield borough","Bergenfield borough, NJ",-73.998745,40.923808,26764,1,1 
"34","06490","34003","06490","NJ","Bergen NJ"," "," ","Bogota borough","Bogota borough, NJ",-74.027702,40.874456,8187,1,1 
"34","10480","34003","10480","NJ","Bergen NJ"," "," ","Carlstadt borough","Carlstadt borough, NJ",-74.092147,40.840154,6127,1,1 
"34","13570","34003","13570","NJ","Bergen NJ"," "," ","Cliffside Park borough","Cliffside Park borough, NJ",-73.987837,40.821892,23594,1,1 
"34","13810","34003","13810","NJ","Bergen NJ"," "," ","Closter borough","Closter borough, NJ",-73.95885,40.972038,8373,1,1 
"34","15820","34003","15820","NJ","Bergen NJ"," "," ","Cresskill borough","Cresskill borough, NJ",-73.964498,40.941082,8573,1,1 
"34","17530","34003","17530","NJ","Bergen NJ"," "," ","Demarest borough","Demarest borough, NJ",-73.960379,40.954711,4881,1,1 
"34","18400","34003","18400","NJ","Bergen NJ"," "," ","Dumont borough","Dumont borough, NJ",-73.99193,40.944635,17479,1,1 
"34","19510","34003","19510","NJ","Bergen NJ"," "," ","East Rutherford borough","East Rutherford borough, NJ",-74.103672,40.838393,8913,1,1 
"34","20020","34003","20020","NJ","Bergen NJ"," "," ","Edgewater borough","Edgewater borough, NJ",-73.978438,40.822817,11513,1,1 
"34","21300","34003","21300","NJ","Bergen NJ"," "," ","Elmwood Park borough","Elmwood Park borough, NJ",-74.120376,40.906711,19403,1,1 
"34","21450","34003","21450","NJ","Bergen NJ"," "," ","Emerson borough","Emerson borough, NJ",-74.02793,40.975825,7401,1,1 
"34","21480","34003","21480","NJ","Bergen NJ"," "," ","Englewood city","Englewood city, NJ",-73.977531,40.893929,27130,1,1 
"34","21510","34003","21510","NJ","Bergen NJ"," "," ","Englewood Cliffs borough","Englewood Cliffs borough, NJ",-73.954642,40.881804,5281,1,1 
"34","22470","34003","22470","NJ","Bergen NJ"," "," ","Fair Lawn borough","Fair Lawn borough, NJ",-74.116995,40.934638,32457,1,1 
