"state","placefp14","sdsec14","stab","placefp","placenm","placenm14","sschlnm14","intptlon","intptlat","pop10","afact","AFACT2"
"State code","placefp14","sdsec14","State abbreviation","placefp","placenm","Place name 2014","Secondary school district name 2014","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","placefp14 to sdsec14 allocation factor","sdsec14 to placefp14 allocation factor"
"34","00700","11730","NJ"," "," ","Allendale borough, NJ","Northern Highlands Regional School District",-74.132813,41.032342,6505,1,0.442126 
"34","01090"," ","NJ"," "," ","Alpine borough, NJ","34",-73.930182,40.953988,1849,1,0.002481 
"34","05170"," ","NJ"," "," ","Bergenfield borough, NJ","34",-73.998745,40.923808,26764,1,0.035917 
"34","06490"," ","NJ"," "," ","Bogota borough, NJ","34",-74.027702,40.874456,8187,1,0.010987 
"34","10480","02800","NJ"," "," ","Carlstadt borough, NJ","Carlstadt-East Rutherford School District",-74.092147,40.840154,6127,1,0.40738 
"34","13570"," ","NJ"," "," ","Cliffside Park borough, NJ","34",-73.987837,40.821892,23594,1,0.031663 
"34","13810","11760","NJ"," "," ","Closter borough, NJ","Northern Valley Regional School District",-73.95885,40.972038,8373,1,0.223871 
"34","15820"," ","NJ"," "," ","Cresskill borough, NJ","34",-73.964498,40.941082,8573,1,0.011505 
"34","17530","11760","NJ"," "," ","Demarest borough, NJ","Northern Valley Regional School District",-73.960379,40.954711,4881,1,0.130504 
"34","18400"," ","NJ"," "," ","Dumont borough, NJ","34",-73.99193,40.944635,17479,1,0.023457 
"34","19510","02800","NJ"," "," ","East Rutherford borough, NJ","Carlstadt-East Rutherford School District",-74.103672,40.838393,8913,1,0.592619 
"34","20020"," ","NJ"," "," ","Edgewater borough, NJ","34",-73.978438,40.822817,11513,1,0.01545 
"34","21300"," ","NJ"," "," ","Elmwood Park borough, NJ","34",-74.120376,40.906711,19403,1,0.026039 
"34","21450"," ","NJ"," "," ","Emerson borough, NJ","34",-74.02793,40.975825,7401,1,0.009932 
"34","21480"," ","NJ"," "," ","Englewood city, NJ","34",-73.977531,40.893929,27130,1,0.036408 
"34","21510"," ","NJ"," "," ","Englewood Cliffs borough, NJ","34",-73.954642,40.881804,5281,1,0.007087 
"34","22470"," ","NJ"," "," ","Fair Lawn borough, NJ","34",-74.116995,40.934638,32457,1,0.043557 
"34","22560"," ","NJ"," "," ","Fairview borough, NJ","34",-73.99931,40.816781,13835,1,0.018566 
"34","24420"," ","NJ"," "," ","Fort Lee borough, NJ","34",-73.974048,40.850425,35345,1,0.047433 
"34","24990","13560","NJ"," "," ","Franklin Lakes borough, NJ","Ramapo-Indian Hill Regional School District",-74.209668,41.008981,10590,1,0.264558 
"34","25770"," ","NJ"," "," ","Garfield city, NJ","34",-74.10813,40.878879,30487,1,0.040913 
"34","26640"," ","NJ"," "," ","Glen Rock borough, NJ","34",-74.124921,40.960246,11601,1,0.015568 
"34","28680"," ","NJ"," "," ","Hackensack city, NJ","34",-74.049677,40.887881,43010,1,0.057719 
"34","30150","11760","NJ"," "," ","Harrington Park borough, NJ","Northern Valley Regional School District",-73.979781,40.991339,4664,1,0.124703 
"34","30420"," ","NJ"," "," ","Hasbrouck Heights borough, NJ","34",-74.075508,40.862306,11839,1,0.015888 
"34","30540","11760","NJ"," "," ","Haworth borough, NJ","Northern Valley Regional School District",-73.987366,40.960669,3382,1,0.090425 
"34","31920","12510","NJ"," "," ","Hillsdale borough, NJ","Pascack Valley Regional School District",-74.042139,41.006879,10219,1,0.305482 
"34","32310"," ","NJ"," "," ","Ho-Ho-Kus borough, NJ","34",-74.101653,41.000411,4078,1,0.005473 
"34","40020"," ","NJ"," "," ","Leonia borough, NJ","34",-73.987625,40.863083,8937,1,0.011993 
"34","40680"," ","NJ"," "," ","Little Ferry borough, NJ","34",-74.039977,40.850019,10626,1,0.01426 
"34","41100"," ","NJ"," "," ","Lodi borough, NJ","34",-74.083731,40.876136,24136,1,0.03239 
"34","44880"," ","NJ"," "," ","Maywood borough, NJ","34",-74.06247,40.902305,9555,1,0.012823 
"34","46110"," ","NJ"," "," ","Midland Park borough, NJ","34",-74.140502,40.99519,7128,1,0.009566 
"34","47610","12510","NJ"," "," ","Montvale borough, NJ","Pascack Valley Regional School District",-74.039953,41.050475,7844,1,0.234485 
"34","47700"," ","NJ"," "," ","Moonachie borough, NJ","34",-74.056239,40.839614,2708,1,0.003634 
"34","51660"," ","NJ"," "," ","New Milford borough, NJ","34",-74.01895,40.933431,16341,1,0.021929 
"34","52320"," ","NJ"," "," ","North Arlington borough, NJ","34",-74.133322,40.789759,15392,1,0.020656 
"34","53430","11760","NJ"," "," ","Northvale borough, NJ","Northern Valley Regional School District",-73.95272,41.01107,4640,1,0.124061 
"34","53610","11760","NJ"," "," ","Norwood borough, NJ","Northern Valley Regional School District",-73.957183,40.995516,5711,1,0.152696 
"34","53850","13560","NJ"," "," ","Oakland borough, NJ","Ramapo-Indian Hill Regional School District",-74.233731,41.030956,12754,1,0.318619 
"34","54870","11760","NJ"," "," ","Old Tappan borough, NJ","Northern Valley Regional School District",-73.982611,41.013823,5750,1,0.153739 
"34","54990","12260","NJ"," "," ","Oradell borough, NJ","River Dell Regional School District",-74.03334,40.953638,7978,1,0.412983 
"34","55770"," ","NJ"," "," ","Palisades Park borough, NJ","34",-73.994916,40.846249,19622,1,0.026332 
"34","55950"," ","NJ"," "," ","Paramus borough, NJ","34",-74.067443,40.947989,26342,1,0.035351 
"34","56130"," ","NJ"," "," ","Park Ridge borough, NJ","34",-74.039906,41.034828,8645,1,0.011601 
"34","61680"," ","NJ"," "," ","Ramsey borough, NJ","34",-74.142673,41.058352,14473,1,0.019423 
"34","62910"," ","NJ"," "," ","Ridgefield borough, NJ","34",-74.001123,40.832247,11032,1,0.014805 
"34","62940"," ","NJ"," "," ","Ridgefield Park village, NJ","34",-74.022615,40.856228,12729,1,0.017082 
"34","63000"," ","NJ"," "," ","Ridgewood village, NJ","34",-74.112655,40.98211,24958,1,0.033493 
"34","63360","12260","NJ"," "," ","River Edge borough, NJ","River Dell Regional School District",-74.038616,40.926585,11340,1,0.587017 
"34","64170"," ","NJ"," "," ","Rockleigh borough, NJ","34",-73.932796,41.005158,531,1,0.000713 
"34","65280"," ","NJ"," "," ","Rutherford borough, NJ","34",-74.111394,40.828985,18061,1,0.024238 
"34","65400"," ","NJ"," "," ","Saddle River borough, NJ","34",-74.099504,41.029208,3152,1,0.00423 
"34","72420"," ","NJ"," "," ","Tenafly borough, NJ","34",-73.965287,40.922001,14488,1,0.019443 
"34","72480"," ","NJ"," "," ","Teterboro borough, NJ","34",-74.062638,40.856966,67,1,0.00009 
"34","75140","11730","NJ"," "," ","Upper Saddle River borough, NJ","Northern Highlands Regional School District",-74.098166,41.063582,8208,1,0.557874 
"34","76400"," ","NJ"," "," ","Waldwick borough, NJ","34",-74.123892,41.012992,9636,1,0.012931 
"34","76490"," ","NJ"," "," ","Wallington borough, NJ","34",-74.107588,40.853628,11335,1,0.015211 
"34","80270"," ","NJ"," "," ","Westwood borough, NJ","34",-74.032853,40.988426,10908,1,0.014638 
"34","82300","12510","NJ"," "," ","Woodcliff Lake borough, NJ","Pascack Valley Regional School District",-74.059857,41.025188,5730,1,0.17129 
"34","82570"," ","NJ"," "," ","Wood-Ridge borough, NJ","34",-74.087066,40.849064,7629,1,0.010238 
"34","99999"," ","NJ"," "," "," ","34",-74.081008,40.927267,116906,0.816097,0.156886 
"34","99999","12510","NJ"," "," "," ","Pascack Valley Regional School District",-74.009883,41.012046,9659,0.067428,0.288742 
"34","99999","13560","NJ"," "," "," ","Ramapo-Indian Hill Regional School District",-74.166048,40.997327,16685,0.116475,0.416823 
"36","01011"," ","NY"," "," ","Albertson CDP, NY","36",-73.648637,40.770684,5182,1,0.004749 
"36","02968"," ","NY"," "," ","Atlantic Beach village, NY","36",-73.73264,40.589018,1891,1,0.001733 
"36","04143"," ","NY"," "," ","Baldwin CDP, NY","36",-73.610712,40.663775,24033,1,0.022023 
"36","04154"," ","NY"," "," ","Baldwin Harbor CDP, NY","36",-73.604586,40.632834,8102,1,0.007424 
"36","04550"," ","NY"," "," ","Barnum Island CDP, NY","36",-73.648115,40.604059,2414,1,0.002212 
