"state","placefp14","sduni14","stab","placefp","placenm","placenm14","uschlnm14","intptlon","intptlat","pop10","afact","AFACT2"
"State code","placefp14","sduni14","State abbreviation","placefp","placenm","Place name 2014","Unified school district name 2014","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","placefp14 to sduni14 allocation factor","sduni14 to placefp14 allocation factor"
"34","00700"," ","NJ"," "," ","Allendale borough, NJ","34",-74.132813,41.032342,6505,1,0.040668 
"34","01090","00870","NJ"," "," ","Alpine borough, NJ","Alpine Borough School District",-73.930182,40.953988,1849,1,1 
"34","05170","01500","NJ"," "," ","Bergenfield borough, NJ","Bergenfield Borough School District",-73.998745,40.923808,26764,1,1 
"34","06490","01920","NJ"," "," ","Bogota borough, NJ","Bogota Borough School District",-74.027702,40.874456,8187,1,1 
"34","10480"," ","NJ"," "," ","Carlstadt borough, NJ","34",-74.092147,40.840154,6127,1,0.038305 
"34","13570","03270","NJ"," "," ","Cliffside Park borough, NJ","Cliffside Park Borough School District",-73.987837,40.821892,23594,1,1 
"34","13810"," ","NJ"," "," ","Closter borough, NJ","34",-73.95885,40.972038,8373,1,0.052347 
"34","15820","03600","NJ"," "," ","Cresskill borough, NJ","Cresskill Borough School District",-73.964498,40.941082,8573,1,1 
"34","17530"," ","NJ"," "," ","Demarest borough, NJ","34",-73.960379,40.954711,4881,1,0.030515 
"34","18400","03990","NJ"," "," ","Dumont borough, NJ","Dumont Borough School District",-73.99193,40.944635,17479,1,1 
"34","19510"," ","NJ"," "," ","East Rutherford borough, NJ","34",-74.103672,40.838393,8913,1,0.055723 
"34","20020","04440","NJ"," "," ","Edgewater borough, NJ","Edgewater Borough School District",-73.978438,40.822817,11513,1,1 
"34","21300","04660","NJ"," "," ","Elmwood Park borough, NJ","Elmwood Park Borough School District",-74.120376,40.906711,19403,1,1 
"34","21450","04710","NJ"," "," ","Emerson borough, NJ","Emerson Borough School District",-74.02793,40.975825,7401,1,1 
"34","21480","04740","NJ"," "," ","Englewood city, NJ","Englewood City School District",-73.977531,40.893929,27130,1,1 
"34","21510","04770","NJ"," "," ","Englewood Cliffs borough, NJ","Englewood Cliffs Borough School District",-73.954642,40.881804,5281,1,1 
"34","22470","04980","NJ"," "," ","Fair Lawn borough, NJ","Fair Lawn Borough School District",-74.116995,40.934638,32457,1,1 
"34","22560","05070","NJ"," "," ","Fairview borough, NJ","Fairview Borough School District",-73.99931,40.816781,13835,1,1 
"34","24420","05310","NJ"," "," ","Fort Lee borough, NJ","Fort Lee Borough School District",-73.974048,40.850425,35345,1,1 
"34","24990"," ","NJ"," "," ","Franklin Lakes borough, NJ","34",-74.209668,41.008981,10590,1,0.066207 
"34","25770","05760","NJ"," "," ","Garfield city, NJ","Garfield City School District",-74.10813,40.878879,30487,1,1 
"34","26640","05970","NJ"," "," ","Glen Rock borough, NJ","Glen Rock Borough School District",-74.124921,40.960246,11601,1,1 
"34","28680","06270","NJ"," "," ","Hackensack city, NJ","Hackensack City School District",-74.049677,40.887881,43010,1,1 
"34","30150"," ","NJ"," "," ","Harrington Park borough, NJ","34",-73.979781,40.991339,4664,1,0.029159 
"34","30420","06930","NJ"," "," ","Hasbrouck Heights borough, NJ","Hasbrouck Heights Borough School District",-74.075508,40.862306,11839,1,0.994372 
"34","30540"," ","NJ"," "," ","Haworth borough, NJ","34",-73.987366,40.960669,3382,1,0.021144 
"34","31920"," ","NJ"," "," ","Hillsdale borough, NJ","34",-74.042139,41.006879,10219,1,0.063887 
"34","32310","07320","NJ"," "," ","Ho-Ho-Kus borough, NJ","Ho-Ho-Kus Borough School District",-74.101653,41.000411,4078,1,1 
"34","40020","08520","NJ"," "," ","Leonia borough, NJ","Leonia Borough School District",-73.987625,40.863083,8937,1,1 
