county,agency,year,months_reported,total_index_crimes,violent,murder,forcible_rape,robbery,aggravated_assault,property,burglary,larceny,motor_vehicle_theft,region
Nassau,Centre Island Vg PD,2019,12,1,0,0,0,0,0,1,1,0,0,Non-New York City
Nassau,County Total,2019,NA,13387,1644,16,57,490,1081,11743,870,10234,639,Non-New York City
Nassau,Floral Park Vg PD,2019,12,34,8,0,0,4,4,26,2,22,2,Non-New York City
Nassau,Freeport Vg PD,2019,12,500,72,0,1,23,48,428,45,361,22,Non-New York City
Nassau,Garden City Vg PD,2019,12,276,9,0,0,3,6,267,25,234,8,Non-New York City
Nassau,Glen Cove City PD,2019,12,89,5,0,0,4,1,84,5,77,2,Non-New York City
Nassau,Great Neck Estates Vg PD,2019,12,12,0,0,0,0,0,12,8,1,3,Non-New York City
Nassau,Hempstead Vg PD,2019,12,876,297,7,11,101,178,579,120,348,111,Non-New York City
Nassau,Kensington Vg PD,2019,12,5,0,0,0,0,0,5,0,3,2,Non-New York City
Nassau,Kings Point Vg PD,2019,12,26,2,0,0,1,1,24,4,2,18,Non-New York City
Nassau,Lake Success Vg PD,2019,12,16,0,0,0,0,0,16,2,12,2,Non-New York City
Nassau,Long Beach City PD,2019,12,86,19,0,0,2,17,67,5,54,8,Non-New York City
Nassau,Lynbrook Vg PD,2019,12,109,14,0,2,2,10,95,8,81,6,Non-New York City
Nassau,Malverne Vg PD,2019,12,12,2,0,0,0,2,10,3,7,0,Non-New York City
Nassau,Nassau County MTA,2019,12,39,6,0,0,2,4,33,1,31,1,Non-New York City
Nassau,Nassau County Park PD,2019,12,23,0,0,0,0,0,23,0,23,0,Non-New York City
Nassau,Nassau County PD,2019,12,10834,1179,9,40,339,791,9655,583,8677,395,Non-New York City
Nassau,Nassau County State Police,2019,12,15,8,0,1,2,5,7,0,5,2,Non-New York City
Nassau,Old Brookville Vg PD,2019,12,46,1,0,0,0,1,45,9,27,9,Non-New York City
Nassau,Old Westbury Vg PD,2019,12,48,1,0,0,0,1,47,13,20,14,Non-New York City
Nassau,Oyster Bay Cove Vg PD,2019,12,8,1,0,0,0,1,7,1,4,2,Non-New York City
Nassau,Port Washington Police District,2019,12,97,6,0,0,2,4,91,6,82,3,Non-New York City
Nassau,Rockville Centre Vg PD,2019,12,185,10,0,0,3,7,175,19,139,17,Non-New York City
Nassau,Sands Point Vg PD,2019,12,30,1,0,1,0,0,29,5,12,12,Non-New York City
Nassau,SUNY Police - Old Westbury,2019,12,20,3,0,1,2,0,17,5,12,0,Non-New York City
Queens,County Total,2019,12,32483,9393,69,643,2493,6188,23090,2298,19231,1561,New York City
