agency,pdname,control
Centre Island Vg PD,Center Island,CityOrVillage
County Total,,
Floral Park Vg PD,Floral Park,CityOrVillage
Freeport Vg PD,Freeport,CityOrVillage
Garden City Vg PD,Garden City,CityOrVillage
Glen Cove City PD,Glen Cove,CityOrVillage
Great Neck Estates Vg PD,Great Neck Estates,CityOrVillage
Hempstead Vg PD,Hempstead,CityOrVillage
Kensington Vg PD,Kensington,CityOrVillage
Kings Point Vg PD,Kings Point,CityOrVillage
Lake Success Vg PD,Lake Success,CityOrVillage
Long Beach City PD,Long Beach,CityOrVillage
Lynbrook Vg PD,Lynbrook,CityOrVillage
Malverne Vg PD,Malverne,CityOrVillage
Nassau County MTA,,
Nassau County Park PD,,
Nassau County PD,,
Nassau County State Police,,
Old Brookville Vg PD,Old Brookville,CityOrVillage
Old Westbury Vg PD,Old Westbury,CityOrVillage
Oyster Bay Cove Vg PD,Oyster Bay Cove,CityOrVillage
Port Washington Police District,Port Washington,Special District
Rockville Centre Vg PD,Rockville Center,CityOrVillage
Sands Point Vg PD,Sands Point,CityOrVillage
SUNY Police - Old Westbury,,
,Jones Beach,State
,Muttontown,CityOrVillage
,Tobay,Town
